YYYYMM_BASE,SITE_CD,LOC_NM,LATITUDE,LONGITUDE,AREA_CD,LOAD_DTM,CENT_CD,관광_버스
202106,A19,을숙도,35.107143,128.94283,2110056020007,ZZZZZZ,BBP23,16
202106,A19,을숙도 생태공원,35.11008837,128.9449571095,2110057020001,ZZZZZZ,BBP23,16
202106,A19,을숙도 철새공원,35.10449092,128.9459791,2110056020007,ZZZZZZ,BBP23,16
202106,A20,B4291,35.096855,129.03468,2101058020001,ZZZZZZ,BBP23,188
202106,A20,영도대교,35.09725344,129.035681,2101058020001,ZZZZZZ,BBP23,184
202106,A20,자갈치시장,35.09661444,129.0305818,2101058020001,ZZZZZZ,BBP23,198
202106,A21,부산커피박물관,35.15433,129.06453,2105083010001,ZZZZZZ,BBP23,306
202106,A22,태종대 유원지,35.052643,129.0878,2104066010001,ZZZZZZ,BBP23,0
202106,A23,해동용궁사,35.188583,129.22346,2131011110019,ZZZZZZ,BBP23,26
202106,A24,해운대,35.158474,129.15987,2109073010004,ZZZZZZ,BBP23,92
202106,A24,해운대해수욕장,35.1591069824,129.1602837868,2109053060001,ZZZZZZ,BBP23,94
202106,A25,황령산 전망쉼터,35.158115,129.08269,2105083020016,ZZZZZZ,BBP23,30
202106,A26,흰여울문화마을,35.07885,129.04402,2104055010010,ZZZZZZ,BBP23,128
202106,A27,임랑해수욕장,35.31905,129.26451,2131012040003,ZZZZZZ,BBP23,40
202106,A28,일광해수욕장,35.260025,129.2336,2131031020004,ZZZZZZ,BBP23,102
202206,A01,40계단,35.104343,129.03534,2101051010001,ZZZZZZ,BBP23,190
202206,A01,40계단테마거리,35.10397225,129.0346287,2101051010001,ZZZZZZ,BBP23,200
202206,A01,BIFF광장,35.09862035,129.0287588,2101058010001,ZZZZZZ,BBP23,209
202206,A01,광복로,35.09947039,129.0311659,2101057010002,ZZZZZZ,BBP23,206
202206,A01,백산기념관,35.101955,129.03456,2101052010001,ZZZZZZ,BBP23,188
202206,A01,보수동책방골목,35.10323904,129.0263248,2101054010005,ZZZZZZ,BBP23,277
202206,A01,부산근대역사관,35.10266,129.03114,2101053010002,ZZZZZZ,BBP23,236
202206,A01,부산기상관측소,35.104973,129.03218,2101053010012,ZZZZZZ,BBP23,242
202206,A01,부산영화체험박물관,35.10169342,129.033594,2101052010001,ZZZZZZ,BBP23,196
202206,A01,"부산영화체험박물관, 트릭아이뮤지엄부산",35.101692,129.0337,2101052010001,ZZZZZZ,BBP23,196
202206,A01,용두산공원,35.1009305,129.0324434,2101057010002,ZZZZZZ,BBP23,206
202206,A01,한성1918 부산생활문화센터,35.10178,129.03444,2101052010001,ZZZZZZ,BBP23,190
202206,A02,감천문화마을,35.09748815,129.0106077,2110066010001,ZZZZZZ,BBP23,187
202206,A02,아미동 비석마을,35.099068,129.0127,2102061010013,ZZZZZZ,BBP23,209
202206,A02,아미동비석마을,35.09903,129.0126,2102061010013,ZZZZZZ,BBP23,209
