,이름,X,Y,대분류,탄소배출량
310,꿀꿀뒷고기,129.0242873,35.1033446,돼지고기류,1.6
311,Gracias,129.0237768,35.1054942,커피,0.18
312,주당,129.0251195,35.1041038,생선류,5.933
313,호호아저씨,129.0242945,35.1039214,밥류,0.414
314,더벤티,129.0277857,35.103297,커피,0.18
315,혜광분식,129.0253559,35.1098437,밥류,0.414
316,LAB,129.0224051,35.1054517,커피,0.18
317,스웰커피,129.0249148,35.1035286,커피,0.18
318,행운식당,129.0248763,35.1057103,생선류,5.933
319,건강탕제원,129.0226432,35.1034396,주류,0.32
320,일미정,129.0253325,35.1044715,밥류,0.414
