,이름,X,Y,대분류,탄소배출량
729,해수바다이야기,129.0173999,35.1166441,생선류,5.933
730,롯데리아,129.0160174,35.1139786,패스트푸드류,2.6
731,제일칼국수,129.0175501,35.1110813,면류,1.3
732,대쌈이삼겹살,129.0203211,35.1116168,돼지고기류,1.6
733,홍대개미,129.0183473,35.1187274,밥류,0.414
734,3678통장어,129.0194391,35.1094969,생선류,5.933
735,텐퍼센트커피,129.0191928,35.1179091,커피,0.18
736,하삼동커피,129.0193284,35.1191068,커피,0.18
737,로또분식,129.0249289,35.1151655,패스트푸드류,2.6
738,보리정,129.0201414,35.1095181,밥류,0.414
739,부산서구지역자활센터 등푸른밥상,129.0199523,35.1093124,생선류,5.933
740,소나무식당,129.0185416,35.1184734,밥류,0.414
741,벙개오돌뼈구이,129.0195041,35.111191,주류,0.32
742,옥이이모,129.018895,35.1089697,커피,0.18
743,덕분생선구이,129.0175417,35.11923,생선류,5.933
744,옛날집숯불고기,129.0187022,35.1111076,돼지고기류,1.6
745,합천돼지국밥,129.0170884,35.1127707,돼지고기류,1.6
746,힐링,129.0195041,35.111191,돼지고기류,1.6
747,초가집양곱창,129.0195041,35.111191,돼지고기류,1.6
748,필승푸드,129.0195041,35.111191,주류,0.32
749,장우동,129.0165571,35.1185712,패스트푸드류,2.6
750,파파존스피자,129.0200462,35.1080406,패스트푸드류,2.6
751,주먹구이,129.0195041,35.111191,밥류,0.414
752,시골집,129.020551,35.1115788,돼지고기류,1.6
753,닥밭골북카페,129.0236528,35.1140045,커피,0.18
754,재재,129.02045,35.1113994,주류,0.32
755,물꽁식당,129.0211242,35.1117994,밥류,0.414
756,밀양돼지국밥,129.016172,35.1193586,돼지고기류,1.6
757,본죽,129.0165107,35.1192476,밥류,0.414
758,속이찌릿청송얼음골막걸리찌릿찌릿소주,129.0174859,35.111208,주류,0.32
759,퀴즈노스,129.017975,35.1161345,패스트푸드류,2.6
760,컴포즈커피,129.0183473,35.1187274,커피,0.18
761,대신국밥,129.016137,35.1191877,국/탕/찌개류,2.736
762,빅대디,129.0205489,35.1114076,주류,0.32
763,동백초이,129.0186087,35.1097653,커피,0.18
764,주동아리,129.0195041,35.111191,주류,0.32
765,야김밥이다,129.0183473,35.1187274,패스트푸드류,2.6
766,지니커피집,129.0221555,35.1083023,패스트푸드류,2.6
767,구땡식당,129.0189593,35.1106097,돼지고기류,1.6
768,엘에스와이 카페꾸러미,129.0218269,35.1118565,커피,0.18
769,할매집밥,129.0161757,35.1196561,돼지고기류,1.6
770,도야짬뽕,129.0179448,35.1190012,면류,1.3
771,신전떡볶이,129.0196677,35.1031943,패스트푸드류,2.6
772,바사케,129.0205145,35.1042508,패스트푸드류,2.6
773,고기의 정점,129.0186069,35.1034465,돼지고기류,1.6
774,별미국수,129.0187432,35.1029406,면류,1.3
775,백초밥,129.0210538,35.1043995,생선류,5.933
776,투고샐러드,129.0202946,35.1050909,소고기류,7.833
777,스타벅스,129.0202211,35.1035952,커피,0.18
778,김삿갓돼지국밥,129.0178012,35.1021643,돼지고기류,1.6
779,한솥도시락,129.0195029,35.1031686,밥류,0.414
780,참미담,129.0207147,35.1044744,면류,1.3
781,시골한방돼지국밥,129.020978,35.1035979,돼지고기류,1.6
782,이디야커피,129.0193715,35.1031877,커피,0.18
783,이태리광수,129.0182277,35.1038193,면류,1.3
784,누리마을감자탕,129.0202776,35.1046043,국/탕/찌개류,2.736
785,영의루,129.0197167,35.1027251,면류,1.3
786,섬세한카츠,129.0211064,35.1051021,돼지고기류,1.6
787,백채김치찌개,129.0208294,35.1048791,국/탕/찌개류,2.736
