업체명,경도,위도,숙박유형,숙박점수
진영모텔,129.1060647,35.2140373,펜션/민박/유스호스텔,8.51
아마존모텔,129.1068925,35.21331442,펜션/민박/유스호스텔,8.51
그랜드모텔,129.1070393,35.21380844,펜션/민박/유스호스텔,8.51
몽블랑모텔,129.1075696,35.21396675,펜션/민박/유스호스텔,8.51
마모텔,129.1071283,35.21399983,펜션/민박/유스호스텔,8.51
빙고모텔,129.1056637,35.21528673,펜션/민박/유스호스텔,8.51
목화모텔,129.0906073,35.25771326,펜션/민박/유스호스텔,8.51
동평장여관,129.0817899,35.22502779,펜션/민박/유스호스텔,8.51
새온천모텔찜질방,129.0815247,35.2240551,펜션/민박/유스호스텔,8.51
송원장,129.0814923,35.22376332,펜션/민박/유스호스텔,8.51
웁스모텔,129.0851221,35.2242952,펜션/민박/유스호스텔,8.51
올레모텔,129.0842698,35.22357183,펜션/민박/유스호스텔,8.51
로망스모텔,129.0861081,35.22272369,펜션/민박/유스호스텔,8.51
맥스모텔,129.0848461,35.22261418,펜션/민박/유스호스텔,8.51
모텔델루나,129.082447,35.22440026,펜션/민박/유스호스텔,8.51
HOTELYOUAIN,129.0843749,35.22321721,호텔/리조트,28.03
대도여관,129.0842094,35.22343918,펜션/민박/유스호스텔,8.51
아라모텔,129.0848261,35.22245892,펜션/민박/유스호스텔,8.51
만리장여관,129.0830621,35.22384332,펜션/민박/유스호스텔,8.51
청룡여관,129.0891245,35.27537144,펜션/민박/유스호스텔,8.51
유성장모텔,129.0890979,35.27569492,펜션/민박/유스호스텔,8.51
범어장,129.0918485,35.27393681,펜션/민박/유스호스텔,8.51
범어장모텔,129.0918193,35.27393827,펜션/민박/유스호스텔,8.51
에스모텔,129.0891817,35.2775317,펜션/민박/유스호스텔,8.51
니즈호텔,129.0899731,35.2744981,호텔/리조트,28.03
모닝블루펜션,129.2125121,35.18480567,펜션/민박/유스호스텔,8.51
바다애펜션,129.2133248,35.18604169,펜션/민박/유스호스텔,8.51
오시리아펜션,129.2177743,35.18812494,펜션/민박/유스호스텔,8.51
가온펜션,129.2127078,35.1844777,펜션/민박/유스호스텔,8.51
타샤모텔,129.2152805,35.23486816,펜션/민박/유스호스텔,8.51
골든베이펜션,129.2270667,35.22131533,펜션/민박/유스호스텔,8.51
고마펜션,129.2432792,35.23499608,펜션/민박/유스호스텔,8.51
본레브연화리330풀빌라앤호텔,129.2229761,35.21559526,호텔/리조트,28.03
MVG모텔,129.2220218,35.21392038,펜션/민박/유스호스텔,8.51
연화리관광호텔,129.2229761,35.21559526,호텔/리조트,28.03
호텔오즈,129.2271744,35.22075941,호텔/리조트,28.03
타이드어웨이풀빌라,129.2085278,35.18217092,펜션/민박/유스호스텔,8.51
로드엠게스트하우스펜션,129.2310754,35.22374937,펜션/민박/유스호스텔,8.51
연화펜션,129.2218632,35.21366559,펜션/민박/유스호스텔,8.51
지앤지모텔,129.222202,35.21419613,펜션/민박/유스호스텔,8.51
MVG무인텔,129.2220125,35.2139435,펜션/민박/유스호스텔,8.51
아난티 힐튼 부산,129.2280692,35.19795241,호텔/리조트,28.03
꿈의궁전모텔,129.2270277,35.22228138,펜션/민박/유스호스텔,8.51
오즈모텔,129.2271806,35.2207852,펜션/민박/유스호스텔,8.51
별이그린바다펜션,129.2110845,35.18223994,펜션/민박/유스호스텔,8.51
아난티코브,129.22865,35.19973708,호텔/리조트,28.03
숲속농원,129.1828651,35.21903124,캠핑/카라반/글램핑,7.98
