_행정구,행정동,이름,주소,도로명 주소,카테고리,입력주소,X,Y,CLSS,PNU,주소구분,표준신주소,표준구주소,우편번호,행정동코드,행정동명,법정동코드,법정동명,대분류
부산진구,범천동,해뜰마루감자탕,부산광역시 부산진구 범천동 848-20,부산광역시 부산진구 범일로 168 태창빌딩2층," 감자탕, 뼈다귀해장국 ",부산광역시 부산진구 범천동 848-20,129.059554,35.1450915,정좌표,2.62301e+18,구주소,부산광역시 부산진구 범일로 168,부산광역시 부산진구 범천동 848-20,47357.0,2623077000.0,범천1동,2623010400,범천동,국/탕/찌개류
부산진구,범천동,파더스,부산광역시 부산진구 범천동 871-1,부산광역시 부산진구 중앙대로621번길 25 강진융프라우," 돈까스, 치킨 ",부산광역시 부산진구 범천동 871-1,129.0578251,35.148018,정좌표,2.62301e+18,구주소,부산광역시 부산진구 중앙대로621번길 25,부산광역시 부산진구 범천동 871-1,47351.0,2623077000.0,범천1동,2623010400,범천동,닭고기류
부산진구,범천동,더킹임다,부산광역시 부산진구 범천동 1000-24,부산광역시 부산진구 범천로 22 한라비발디스튜디오422 상가102호," 떡볶이, 국물떡볶이 ",부산광역시 부산진구 범천동 1000-24,129.0561981,35.1486542,정좌표,2.62301e+18,구주소,부산광역시 부산진구 범천로 22,부산광역시 부산진구 범천동 1000-24,47280.0,2623078000.0,범천2동,2623010400,범천동,패스트푸드류
부산진구,범천동,아덴블랑제리,부산광역시 부산진구 범천동 1054,부산광역시 부산진구 가야대로 702 101동 상가 103호," 카페, 베이커리카페 ",부산광역시 부산진구 범천동 1054,129.0491295,35.1562692,정좌표,2.62301e+18,구주소,부산광역시 부산진구 가야대로 702,부산광역시 부산진구 범천동 1054,47278.0,2623078000.0,범천2동,2623010400,범천동,커피
부산진구,범천동,먹고식당,부산광역시 부산진구 범천동 871-1,부산광역시 부산진구 중앙대로621번길 25 강진융프라우 오피스텔 1층," 파불고기, 버섯전골 ",부산광역시 부산진구 범천동 871-1,129.0578251,35.148018,정좌표,2.62301e+18,구주소,부산광역시 부산진구 중앙대로621번길 25,부산광역시 부산진구 범천동 871-1,47351.0,2623077000.0,범천1동,2623010400,범천동,소고기류
부산진구,범천동,만수스시,부산광역시 부산진구 범천동 841-291,부산광역시 부산진구 범일로142번길 65 만수스시," 스시, 오마카세 ",부산광역시 부산진구 범천동 841-291,129.0628952,35.1429439,정좌표,2.62301e+18,구주소,부산광역시 부산진구 범일로142번길 65,부산광역시 부산진구 범천동 841-291,47363.0,2623077000.0,범천1동,2623010400,범천동,생선류
부산진구,범천동,돈짱맛짱,부산광역시 부산진구 범천동 844-53,부산광역시 부산진구 중앙번영로 8 1층,대패삼겹살,부산광역시 부산진구 범천동 844-53,129.0601311,35.1447349,정좌표,2.62301e+18,구주소,부산광역시 부산진구 중앙번영로 8,부산광역시 부산진구 범천동 844-53,47361.0,2623077000.0,범천1동,2623010400,범천동,돼지고기류
부산진구,범천동,네네치킨,부산광역시 부산진구 범천동 1644 지상1층-106,부산광역시 부산진구 신암로 66 지상1층-106,치킨,부산광역시 부산진구 범천동 1644 지상1층-106,129.0549859,35.1474118,정좌표,2.62301e+18,구주소,부산광역시 부산진구 신암로 66,부산광역시 부산진구 범천동 1644,47343.0,2623078000.0,범천2동,2623010400,범천동,닭고기류
부산진구,범천동,홍두깨칼국수,부산광역시 부산진구 범천동 875-1,부산광역시 부산진구 신천대로65번길 68 홍두깨칼국수," 칼국수, 바지락칼국수 ",부산광역시 부산진구 범천동 875-1,129.0579229,35.1470978,정좌표,2.62301e+18,구주소,부산광역시 부산진구 신천대로65번길 68,부산광역시 부산진구 범천동 875-1,47352.0,2623077000.0,범천1동,2623010400,범천동,면류
부산진구,범천동,매운떡볶이,부산광역시 부산진구 범천동 844-35,부산광역시 부산진구 골드테마길 52-2," 떡볶이, 매운떡볶이 ",부산광역시 부산진구 범천동 844-35,129.0602429,35.1440488,정좌표,2.62301e+18,구주소,부산광역시 부산진구 골드테마길 52-2,부산광역시 부산진구 범천동 844-35,47361.0,2623077000.0,범천1동,2623010400,범천동,패스트푸드류
부산진구,범천동,박민후대구탕,부산광역시 부산진구 범천동 851-1,부산광역시 부산진구 황령대로18번길 37," 대구탕, 두부 ",부산광역시 부산진구 범천동 851-1,129.0617817,35.1459283,정좌표,2.62301e+18,구주소,부산광역시 부산진구 범일로192번길 54,부산광역시 부산진구 범천동 851-1,47355.0,2623077000.0,범천1동,2623010400,범천동,국/탕/찌개류
부산진구,범천동,합천식당,부산광역시 부산진구 범천동 839-42,부산광역시 부산진구 자유평화로 17 1층 합천식당," 돼지국밥, 국밥 ",부산광역시 부산진구 범천동 839-42,129.0617478,35.1416289,정좌표,2.62301e+18,구주소,부산광역시 부산진구 자유평화로 17,부산광역시 부산진구 범천동 839-42,47366.0,2623077000.0,범천1동,2623010400,범천동,돼지고기류
부산진구,범천동,도삼겹,부산광역시 부산진구 범천동 1643,부산광역시 부산진구 범일로154번길 33 풍림아이원,대패삼겹살,부산광역시 부산진구 범천동 1643,129.0611145,35.1444108,정좌표,2.62301e+18,구주소,부산광역시 부산진구 범일로154번길 33,부산광역시 부산진구 범천동 1643,47361.0,2623077000.0,범천1동,2623010400,범천동,돼지고기류
부산진구,범천동,우마우마이,부산광역시 부산진구 범천동 857-1 태명빌딩 1층,부산광역시 부산진구 황령대로7번길 37 태명빌딩 1층 우마우마이," 돈까스, 경양식 ",부산광역시 부산진구 범천동 857-1 태명빌딩 1층,129.0598053,35.1492356,정좌표,2.62301e+18,구주소,부산광역시 부산진구 황령대로7번길 37,부산광역시 부산진구 범천동 857-1,47353.0,2623077000.0,범천1동,2623010400,범천동,돼지고기류
부산진구,범천동,츠키노준,부산광역시 부산진구 범천동 857-11,부산광역시 부산진구 황령대로7번길 29 2층 츠키노준," 이자카야, 술집 ",부산광역시 부산진구 범천동 857-11,129.0598128,35.1489652,정좌표,2.62301e+18,구주소,부산광역시 부산진구 황령대로7번길 29,부산광역시 부산진구 범천동 857-11,47353.0,2623077000.0,범천1동,2623010400,범천동,주류
부산진구,범천동,BHC치킨,부산광역시 부산진구 범천동 851-1,부산광역시 부산진구 황령대로18번길 37," 치킨, 뿌링치즈볼 ",부산광역시 부산진구 범천동 851-1,129.0617817,35.1459283,정좌표,2.62301e+18,구주소,부산광역시 부산진구 범일로192번길 54,부산광역시 부산진구 범천동 851-1,47355.0,2623077000.0,범천1동,2623010400,범천동,닭고기류
부산진구,범천동,손핸즈디저트카페,부산광역시 부산진구 범천동 980-128,부산광역시 부산진구 신암로 102 1층," 샌드위치, 카페 ",부산광역시 부산진구 범천동 980-128,129.0524198,35.1501203,정좌표,2.62301e+18,구주소,부산광역시 부산진구 신암로 102,부산광역시 부산진구 범천동 980-128,47343.0,2623078000.0,범천2동,2623010400,범천동,커피
부산진구,범천동,현대포장마차,부산광역시 부산진구 범천동 885-16,부산광역시 부산진구 범일로153번길 15," 포차, 술집 ",부산광역시 부산진구 범천동 885-16,129.0583606,35.1436056,정좌표,2.62301e+18,구주소,부산광역시 부산진구 범일로153번길 15,부산광역시 부산진구 범천동 885-16,47359.0,2623077000.0,범천1동,2623010400,범천동,주류
부산진구,범천동,카페 기프티,부산광역시 부산진구 범천동 854-2,부산광역시 부산진구 황령대로18번길 22 1층," 카페, 과자 ",부산광역시 부산진구 범천동 854-2,129.061173,35.1472226,정좌표,2.62301e+18,구주소,부산광역시 부산진구 황령대로18번길 22,부산광역시 부산진구 범천동 854-2,47354.0,2623077000.0,범천1동,2623010400,범천동,커피
부산진구,범천동,메가커피,부산광역시 부산진구 범천동 859-16,부산광역시 부산진구 황령대로 23 1층 102호," 커피, 카페 ",부산광역시 부산진구 범천동 859-16,129.0620783,35.1484856,정좌표,2.62301e+18,구주소,부산광역시 부산진구 황령대로 23,부산광역시 부산진구 범천동 859-16,47353.0,2623077000.0,범천1동,2623010400,범천동,커피
부산진구,범천동,파리바게뜨,부산광역시 부산진구 범천동 842-8,부산광역시 부산진구 중앙번영로 32 1층," 빵, 소시지빵 ",부산광역시 부산진구 범천동 842-8,129.0626751,35.1445864,정좌표,2.62301e+18,구주소,부산광역시 부산진구 중앙번영로 32,부산광역시 부산진구 범천동 842-8,47362.0,2623077000.0,범천1동,2623010400,범천동,밥류
부산진구,범천동,숙향,부산광역시 부산진구 범천동 849-2,부산광역시 부산진구 범일로192번길 10," 비빔밥, 비빔밥전문 ",부산광역시 부산진구 범천동 849-2,129.0602231,35.1467532,정좌표,2.62301e+18,구주소,부산광역시 부산진구 범일로192번길 10,부산광역시 부산진구 범천동 849-2,47357.0,2623077000.0,범천1동,2623010400,범천동,밥류
부산진구,범천동,뚜레쥬르,부산광역시 부산진구 범천동 857-6,부산광역시 부산진구 중앙대로 632," 빵, 샌드위치 ",부산광역시 부산진구 범천동 857-6,129.0595516,35.1491387,정좌표,2.62301e+18,구주소,부산광역시 부산진구 중앙대로 632,부산광역시 부산진구 범천동 857-6,47353.0,2623077000.0,범천1동,2623010400,범천동,패스트푸드류
부산진구,범천동,어랑,부산광역시 부산진구 범천동 870-43,부산광역시 부산진구 신천대로65번길 57," 생선구이, 생선 ",부산광역시 부산진구 범천동 870-43,129.0581827,35.1476634,정좌표,2.62301e+18,구주소,부산광역시 부산진구 신천대로65번길 57,부산광역시 부산진구 범천동 870-43,47351.0,2623077000.0,범천1동,2623010400,범천동,생선류
부산진구,범천동,복해루,부산광역시 부산진구 범천동 870-2,부산광역시 부산진구 중앙대로621번길 17," 짜장면, 중국집 ",부산광역시 부산진구 범천동 870-2,129.0582101,35.1480868,정좌표,2.62301e+18,구주소,부산광역시 부산진구 중앙대로621번길 17,부산광역시 부산진구 범천동 870-2,47351.0,2623077000.0,범천1동,2623010400,범천동,면류
부산진구,범천동,일미식당,부산광역시 부산진구 범천동 871-17,부산광역시 부산진구 신천대로71번길 37," 김치찌개, 백반 ",부산광역시 부산진구 범천동 871-17,129.0577117,35.1477396,정좌표,2.62301e+18,구주소,부산광역시 부산진구 신천대로71번길 37,부산광역시 부산진구 범천동 871-17,47351.0,2623077000.0,범천1동,2623010400,범천동,국/탕/찌개류
부산진구,범천동,황금밀면,부산광역시 부산진구 범천동 869-30,부산광역시 부산진구 중앙대로 625 1층 황금밀면," 밀면, 비빔밀면 ",부산광역시 부산진구 범천동 869-30,129.0588852,35.1485226,정좌표,2.62301e+18,구주소,부산광역시 부산진구 중앙대로 625,부산광역시 부산진구 범천동 869-30,47351.0,2623077000.0,범천1동,2623010400,범천동,면류
부산진구,범천동,범일맥주,부산광역시 부산진구 범천동 837-25,부산광역시 부산진구 범일로142번길 34-14 2층," 맥주, 생맥주 ",부산광역시 부산진구 범천동 837-25,129.0607029,35.1422871,정좌표,2.62301e+18,구주소,부산광역시 부산진구 범일로142번길 34-14,부산광역시 부산진구 범천동 837-25,47365.0,2623077000.0,범천1동,2623010400,범천동,주류
부산진구,범천동,커피스토어,부산광역시 부산진구 범천동 1059-31,부산광역시 부산진구 가야대로 716 전체," 와플, 커피 ",부산광역시 부산진구 범천동 1059-31,129.0499185,35.1570286,정좌표,2.62301e+18,구주소,부산광역시 부산진구 가야대로 716,부산광역시 부산진구 범천동 1059-31,47278.0,2623078000.0,범천2동,2623010400,범천동,커피
부산진구,범천동,순대실록,부산광역시 부산진구 범천동 839-30 1층 103호,부산광역시 부산진구 자유평화로 21-10 1층 103호," 순대국, 순대 ",부산광역시 부산진구 범천동 839-30 1층 103호,129.0623987,35.1418937,정좌표,2.62301e+18,구주소,부산광역시 부산진구 자유평화로 21-10,부산광역시 부산진구 범천동 839-30,47366.0,2623077000.0,범천1동,2623010400,범천동,국/탕/찌개류
부산진구,범천동,원조명태갈비찌짐,부산광역시 부산진구 범천동 840-48 원조명태갈비찌짐,부산광역시 부산진구 범일로142번길 64-1 원조명태갈비찌짐," 술집, 찌짐 ",부산광역시 부산진구 범천동 840-48 원조명태갈비찌짐,129.062902,35.1426284,정좌표,2.62301e+18,구주소,부산광역시 부산진구 범일로142번길 64-1,부산광역시 부산진구 범천동 840-48,47366.0,2623077000.0,범천1동,2623010400,범천동,주류
부산진구,범천동,육해공포차,부산광역시 부산진구 범천동 870-55,부산광역시 부산진구 중앙대로621번길 5,포장마차,부산광역시 부산진구 범천동 870-55,129.0588141,35.1481176,정좌표,2.62301e+18,구주소,부산광역시 부산진구 중앙대로621번길 5,부산광역시 부산진구 범천동 870-55,47351.0,2623077000.0,범천1동,2623010400,범천동,주류
